id,name,type,rti_status,portfolio_minister,rti_page_url,disclosure_log_url,disclosure_log_format,disclosure_log_url_evidence,verification_status,notes,search_status
break_oday_c,Break O'Day Council,council,full,Minister for Local Government (memory),https://www.bodc.tas.gov.au/council/right-to-information/,,unknown,,network_blocked_search_only,"St Helens. East coast; grouped with the north for regional purposes (memory). ABS LGA code (memory, unverified): 60210. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
brighton_c,Brighton Council,council,full,Minister for Local Government (memory),https://www.brighton.tas.gov.au/council/right-to-information/,,unknown,,network_blocked_search_only,"Listed on the Right to Know (righttoknow.org.au) platform. ABS LGA code (memory, unverified): 60410. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
building_tas,Building Tasmania,agency,full,Minister for Infrastructure and Transport / Housing and Planning / Local Government (Kerry Vincent); residual State Growth portfolios pending Dec 2026 split,,,unknown,,network_blocked_search_only,"Commenced 2026-07-02. Responsible for housing, roads, infrastructure; overseen by Kerry Vincent; Shane Gregory acting secretary (Pulse) vs Wikipedia infobox 'Craig Limkin' - UNCERTAIN. Stage two 2026-09-10: capital projects transferred in from other agencies. Homes Tasmania to join in Dec 2026. State Planning Office now part of it. Economic development (industry, energy, resources) to go to DPAC; tourism/events/creative/sport to TECT (3 Dec 2026). No RTI page or disclosure log found (Q47 returned nothing specific) - may still be on stategrowth domain. Also seen: https://engage.building.tas.gov.au/shaping-tasmania, contact page https://www.building.tas.gov.au/about-us/contact-us.",not_searched
burnie_cc,Burnie City Council,council,full,Minister for Local Government (memory),https://www.burnie.net/Council/Governance-Information/How-to-request-Council-information,,unknown,,network_blocked_search_only,"The RTI page result was on burnie.net; other Burnie results were on burnie.tas.gov.au. Confirm the canonical domain when the network opens. ABS LGA code (memory, unverified): 60610. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
business_tas,Business Tasmania,business_unit,via_parent,"Small Business (Guy Barnett) / Business, Industry and Resources (Felix Ellis)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: State Growth service. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
cbos,"Consumer, Building and Occupational Services",business_unit,via_parent,Consumer Affairs (Guy Barnett),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Division of Justice (memory). Building-regulation functions could be affected by Building Tasmania MoG - UNCERTAIN.]",not_searched
ccyp,Commissioner for Children and Young People,statutory,partial,,,,unknown,,network_blocked_search_only,"Whether the 2018 amendment passed: memory says yes - UNCERTAIN. Post-Commission-of-Inquiry restructuring into a 'Commission for Children and Young People' (memory, date UNCERTAIN) not verified.",searched_none_found
central_coast_c,Central Coast Council,council,full,Minister for Local Government (memory),https://www.centralcoast.tas.gov.au/council/governance/strategies-plans-policies/right-to-information/,,unknown,,network_blocked_search_only,"Ulverstone. Postal RTI contact: Principal Officer Right to Information, PO Box 220, Ulverstone TAS 7315 (snippet_verified). Do not confuse with Central Coast Council NSW (centralcoast.nsw.gov.au). ABS LGA code (memory, unverified): 60810. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
central_highlands_c,Central Highlands Council,council,full,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Hamilton/Bothwell. No RTI page URL was seen. Most results were for Central Highlands Regional Council (Qld, chrc.qld.gov.au), a different body. Council policies page: https://centralhighlands.tas.gov.au/council/council-policies/ (snippet_verified). ABS LGA code (memory, unverified): 61010. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
circular_head_c,Circular Head Council,council,full,Minister for Local Government (memory),https://www.circularhead.tas.gov.au/our-council/right-to-information,,unknown,,network_blocked_search_only,"Smithton. ABS LGA code (memory, unverified): 61210. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
cisve,"Creative Industries, Sport and Visitor Economy",business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: State Growth division coordinating tourism, events, arts, screen and sport (snippet Q6). Expected to become Tourism, Events and Creative Tasmania 2026-12-03.]",not_searched
clarence_cc,Clarence City Council,council,full,Minister for Local Government (memory),https://www.ccc.tas.gov.au/your-council/governance/right-to-information/,,unknown,,network_blocked_search_only,"Rosny Park. The snippet says it releases information through Annual and Quarterly reports. rti_contact_email governance@ccc.tas.gov.au is snippet_verified (snippet says the Application for Assessed Disclosure form is emailed to this address). ABS LGA code (memory, unverified): 61410. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
climate_change_office,Tasmanian Climate Change Office,business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: moved from DPAC into ReCFIT (State Growth) c. 2022; climate change function then moved from State Growth/Building Tasmania to NRE 2026-08-13 (snippet). abolished (absorbed), successor recfit then nre. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted afte]",not_searched
communities_tas,Department of Communities Tasmania,agency,full,,https://www.communities.tas.gov.au/about-us/your-rights/right-to-information,https://www.communities.tas.gov.au/about-us/your-rights/right-to-information/right-to-information-disclosure-log,unknown,snippet_verified,network_blocked_search_only,"abolished 2022-12-01 (snippet_verified, Find & Connect), successors decyp (CYF, Youth Justice), homes_tas (housing), plus other receiving agencies (DPAC per memory; Health UNCERTAIN). Legacy disclosure log still indexed by search engines.",searched_found
community_corrections,Community Corrections,business_unit,via_parent,"Justice, Corrections and Rehabilitation (Guy Barnett)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original:  No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
coordinator_general,Office of the Coordinator-General,business_unit,via_parent,"Business, Industry and Resources (Felix Ellis) - UNCERTAIN",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: State Growth. Destination in 2026 MoG (DPAC economic development?) UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
copping_jointauth,Copping Refuse Disposal Site Joint Authority,council_entity,UNCERTAIN,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,Owners and trading name are from memory. Whether it was restructured into a regional waste body after the Waste and Resource Recovery Act 2022 is UNCERTAIN. No search could be run (budget exhausted).,not_searched
coroner,Coroners Court / Coroner,statutory,partial,,,,unknown,,network_blocked_search_only,Memory: Coronial Division of Magistrates Court.,searched_none_found
cradle_coast_authority,Cradle Coast Authority,council_entity,UNCERTAIN,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Owners per memory: Burnie, Central Coast, Circular Head, Devonport, Kentish, King Island, Latrobe, Waratah-Wynyard, West Coast. It also hosts Cradle Coast NRM (memory). No search could be run (budget exhausted). A multi-council body, so parent_id is null.",not_searched
crown_law,Crown Law (Office of the Solicitor-General / Crown Solicitor),business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory only. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
custodial_inspector,Custodial Inspector,statutory,partial,,,,unknown,,network_blocked_search_only,Memory: Office co-located with Ombudsman.,searched_none_found
cyso_regulator,Independent Regulator (Child and Youth Safe Organisations),statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only,Memory only. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
decyp,"Department for Education, Children and Young People",agency,full,Minister for Education; Children and Youth; Disability Services (?) (Jo Palmer),https://www.decyp.tas.gov.au/about-us/policies-legislation-data/legislation/rti/,https://decyp.tas.gov.au/about-us/policies-legislation-data/legislation/rti/right-to-information-disclosure-log/,unknown,snippet_verified,network_blocked_search_only,"Snippet: publishes within 48 hours. Responsible for govt schools, child and family learning centres, child safety/out-of-home care, youth justice, libraries and Tasmanian Archives (snippet Q31). Received DPAC functions 2026-07-30 (which ones UNCERTAIN - possibly Disability Services/Women).",searched_found
derwent_valley_c,Derwent Valley Council,council,full,Minister for Local Government (memory),https://www.derwentvalley.tas.gov.au/council/right-to-information,,unknown,,network_blocked_search_only,"New Norfolk. RTI Officer, PO Box 595, New Norfolk TAS 7140 (snippet_verified). rti_contact_email dvcouncil@dvc.tas.gov.au is snippet_verified (snippet gives it as the Right to Information Officer's email; it is a general council mailbox). ABS LGA code (memory, unverified): 61610. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
devonport_cc,Devonport City Council,council,full,Minister for Local Government (memory),https://www.devonport.tas.gov.au/council/governance/transparency-accountability/access-to-council-information/,,unknown,,network_blocked_search_only,"ABS LGA code (memory, unverified): 61810. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
dhhs,Department of Health and Human Services,agency,full,,,,unknown,,network_blocked_search_only,"abolished/renamed pre-2020 (memory: became Department of Health c. 2018; date UNCERTAIN, verification search failed on budget), successor health. Included for attribution of pre-2020 releases only. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
director_of_housing,Director of Housing,statutory,full,,,,unknown,,network_blocked_search_only,"abolished (memory: functions/assets to Homes Tasmania 2022-12-01; UNCERTAIN), successor homes_tas. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
doe,Department of Education,agency,full,,,,unknown,,network_blocked_search_only,"renamed Department for Education, Children and Young People (memory: Oct 2022; UNCERTAIN), successor decyp. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
dorset_c,Dorset Council,council,full,Minister for Local Government (memory),https://www.dorset.tas.gov.au/right-to-information-act-2009,,unknown,,network_blocked_search_only,"Scottsdale. RTI Officer, PO Box 21 Scottsdale TAS 7260 (snippet_verified). Do not confuse with Dorset Council UK. rti_contact_email dorset@dorset.tas.gov.au is snippet_verified (snippet says requests can be made to the RTI Officer at this address; it is a general mailbox). ABS LGA code (memory, unverified): 62010. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
dpac,Department of Premier and Cabinet,agency,full,"Premier (Jeremy Rockliff); also Community and Multicultural Affairs, Aboriginal Affairs, Veterans' Affairs, Women, Innovation/Science/Digital Economy (functions partly moved Jul 2026 - see mog_changes)",https://www.dpac.tas.gov.au/government-information/rti,https://www.dpac.tas.gov.au/rti/disclosure_log_departmental,unknown,snippet_verified,network_blocked_search_only,"Disclosure-log URL is an OLD-SITE path seen as result 'Information released under assessed disclosures (DPAC)' (Q44); DPAC migrated to a new CMS (/government-information/rti) so the log may now live under the new tree - UNCERTAIN which is current. Also seen: https://www.dpac.tas.gov.au/rti-archive (RTI archive), https://www.dpac.tas.gov.au/rti/what_is_right_to_information, RTI Information Disclosure Policy 2025 PDF https://www.dpac.tas.gov.au/__data/assets/pdf_file/0028/464068/Right-to-Information-Information-Disclosure-Policy-2025-4.PDF, and review page https://www.dpac.tas.gov.au/government-information/rti/review-of-the-right-to-information-framework (Getting Back on Track review, 43 recs, govt backs 32; released Mar 2026). DPAC also hosts the Ministers' (MPS) logs - see minister records. TasALERT RTI page https://alert.tas.gov.au/right-information-rti seen (Q40) - TasALERT is a whole-of-govt emergency site, owner agency UNCERTAIN (memory: DPAC). 2026 MoG: DPAC functions moved to Health (2 Jul), Justice (16 Jul), DECYP (30 Jul) - which functions is NOT stated in snippets; DPAC is to gain economic development incl. industry, energy and resources from Building Tasmania and to provide shared corporate services to Building Tasmania and TECT from 3 Dec 2026.",searched_found
dpfem,"Department of Police, Fire and Emergency Management",agency,full,"Minister for Police, Fire and Emergency Management (Felix Ellis)",https://www.police.tas.gov.au/information-disclosure/right-to-information-disclosures/,https://www.police.tas.gov.au/information-disclosure/right-to-information-disclosures/disclosures/disclosure-log/,unknown,snippet_verified,network_blocked_search_only,DPFEM RTI handled via Tasmania Police site (same log recorded on tas_police). Snippet: publishes within 48 hours for applications received after 9 June 2015; application fee $49.00 as at 1 July 2026. Tasmanian Fire and Emergency Services Bill out for consultation Aug 2026 (may restructure TFS/SES/State Fire Commission).,searched_found
dpipwe,"Department of Primary Industries, Parks, Water and Environment",agency,full,,,,unknown,,network_blocked_search_only,"abolished (renamed) - date UNCERTAIN (memory: late 2021/early 2022; verification search failed on budget), successor nre. Historical releases on dpipwe.tas.gov.au may now sit under nre.tas.gov.au. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
dpp,Office of the Director of Public Prosecutions,statutory,partial,,,,unknown,,network_blocked_search_only,Administration information only.,searched_none_found
dss,Digital Strategy and Services,business_unit,via_parent,"Innovation, Science and the Digital Economy (Felix Ellis)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
dulverton_waste,Dulverton Regional Waste Management Authority,council_entity,UNCERTAIN,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,The exact legal name and whether it is a joint authority or a company are UNCERTAIN (memory only). No search could be run (budget exhausted).,not_searched
energy_ombudsman,Energy Ombudsman Tasmania,statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only,Memory only. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
entura,Entura,other,partial,Minister for Energy and Renewables,,,unknown,none seen; applications presumably go to Hydro Tasmania (inferred),network_blocked_search_only,"Record kept only so the registry resolves the name; do NOT count as a separate public authority. Formerly Hydro Tasmania Consulting (memory, renamed c. 2010). Overseas subsidiaries (e.g. an Indian entity) exist per memory - not searched, and would not be RTI bodies (UNCERTAIN). Its future was questioned in the privatisation debate (Pulse Tasmania result title).",not_searched
epa,Environment Protection Authority Tasmania,statutory,full,Environment and Climate Change (Guy Barnett),,https://epa.tas.gov.au/about-the-epa/right-to-information/rti-disclosure-log,unknown,snippet_verified,network_blocked_search_only,Environmental Management and Pollution Control Act 1994 (memory). Has its own disclosure log.,searched_found
events_tas,Events Tasmania,business_unit,via_parent,"Tourism, Hospitality and Events (Roger Jaensch)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Snippet Q6 describes Events Tasmania.]",not_searched
flinders_c,Flinders Council,council,full,Minister for Local Government (memory),https://www.flinders.tas.gov.au/right-to-information,,unknown,,network_blocked_search_only,"Whitemark, Flinders Island. WARNING: Flinders Shire Council (Qld, flinders.qld.gov.au) has a disclosure log at https://www.flinders.qld.gov.au/our-governance/right-to-information/disclosure-log. That is a DIFFERENT body and must not be attributed to Flinders Council (Tas). ABS LGA code (memory, unverified): 62210. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
forest_practices_tribunal,Forest Practices Tribunal,statutory,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5. UNVERIFIED.,not_searched
fpa,Forest Practices Authority,statutory,full,"Business, Industry and Resources (Felix Ellis) - UNCERTAIN",,,unknown,,network_blocked_search_only,Forest Practices Act 1985 (memory). Forest Practices Regulations consultation Aug 2026 (premier.tas.gov.au snippet Q25).,not_searched
fsst,Forensic Science Service Tasmania,business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: within DPFEM. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
george_town_c,George Town Council,council,full,Minister for Local Government (memory),https://georgetown.tas.gov.au/right-to-information,,unknown,,network_blocked_search_only,"Do not confuse with George Town City Council (Penang, Malaysia). ABS LGA code (memory, unverified): 62410. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
glamorgan_spring_bay_c,Glamorgan Spring Bay Council,council,full,Minister for Local Government (memory),https://gsbc.tas.gov.au/council/council-governance/right-to-information/,,unknown,,network_blocked_search_only,"Triabunna. annual_report_url is the annual reports listing page (snippet_verified), not a single report. rti_contact_email admin@freycinet.tas.gov.au is snippet_verified (given on the RTI page as a general enquiries address, not a dedicated RTI address). ABS LGA code (memory, unverified): 62610. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
glenorchy_cc,Glenorchy City Council,council,full,Minister for Local Government (memory),https://www.gcc.tas.gov.au/council/governance-and-operations/privacy-and-rti/,,unknown,,network_blocked_search_only,"374 Main Road Glenorchy; PO Box 103 Glenorchy TAS 7010 (snippet_verified). rti_contact_email gccmail@gcc.tas.gov.au is snippet_verified (snippet says Application for Assessed Disclosure forms may be emailed here; it is a general mailbox). ABS LGA code (memory, unverified): 62810. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
governor,Governor of Tasmania (Office of the Governor),other,excluded,,,,unknown,,network_blocked_search_only,Governor Barbara Baker (snippet Q15).,not_searched
guardianship_board,Guardianship and Administration Board,statutory,full,,,,unknown,,network_blocked_search_only,"abolished (memory: 2021-11-05), successor tascat. Date UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
hcc,Health Complaints Commissioner Tasmania,statutory,partial,,,,unknown,,network_blocked_search_only,Website domain seen in Q45 results. Office historically co-located with Ombudsman (memory).,searched_none_found
health,Department of Health,agency,full,"Minister for Health, Mental Health and Wellbeing; Ageing (Bridget Archer)",https://www.health.tas.gov.au/about/routine-disclosures/right-information,https://www.health.tas.gov.au/about/routine-disclosures/right-information,per_release_pages,snippet_verified,network_blocked_search_only,Snippet: disclosure log is on the RTI page; individual releases have their own pages (e.g. https://www.health.tas.gov.au/about/routine-disclosures/right-information/right-information-no-rti202223-171) and PDFs (e.g. https://www.health.tas.gov.au/sites/default/files/2024-07/rti202324-507_-_disclosure_log.pdf) - hence per_release_pages. Publication discretionary. Legal Services contact phone (03) 6166 3770; email redacted in snippet. Policy PDF https://www.health.tas.gov.au/sites/default/files/2024-09/information_disclosure_under_the_right_to_information_act_2009_policy.pdf. Received DPAC functions 2026-07-02 (which ones UNCERTAIN - possibly Ageing).,searched_found
heritage_council,Tasmanian Heritage Council,statutory,full,"Heritage (Nick Duigan, from Jun 2026)",,,unknown,,network_blocked_search_only,Historic Cultural Heritage Act 1995 (memory); Heritage Tasmania in NRE. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
hobart_cc,Hobart City Council,council,full,Minister for Local Government (memory),https://www.hobartcity.com.au/Council/About-Council/Governance-and-transparency/Right-to-Information,,unknown,,network_blocked_search_only,"A DRAFT City of Hobart Information Disclosure Policy and Procedures was a council agenda attachment in October 2024: https://hobart.infocouncil.biz/Open/2024/10/CO_14102024_AGN_1907_AT_files/CO_14102024_AGN_1907_AT_Attachment_12405_2.PDF (snippet_verified). It may set out disclosure-log practice (not checked). Do not confuse with hobartok.gov (City of Hobart, Oklahoma). ABS LGA code (memory, unverified): 63010. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
homes_tas,Homes Tasmania,statutory,full,Housing and Planning (Kerry Vincent),,,unknown,,network_blocked_search_only,Homes Tasmania Act 2022 (memory). RTI email snippet_verified (Q50 summary); 'RTI decisions considered to be in the public interest will be published' - log URL not seen. Housing functions of Communities amalgamated 2022-12-01 (snippet). To transition into Building Tasmania in Dec 2026 (snippet Q9) - legal form after transition UNCERTAIN.,searched_none_found
house_of_assembly,House of Assembly,other,excluded,,,,unknown,,network_blocked_search_only,Only Ministers (not backbench/opposition MPs) are subject to RTI (DPAC snippet Q39). UNCERTAIN - verify s 6 text.,searched_none_found
huon_valley_c,Huon Valley Council,council,full,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Huonville. No dedicated RTI page URL was seen. The snippet summary mentions an 'Access to Information Policy (CORP GOV 011)', but no URL was shown. ABS LGA code (memory, unverified): 63210. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",searched_none_found
hydro,Hydro Tasmania,gbe,full,Minister for Energy and Renewables,https://www.hydro.com.au/about-us/our-governance/right-to-information,https://www.hydro.com.au/about-us/our-governance/right-to-information/right-to-information-disclosures,html_list,"snippet_verified (result URL, title 'Right to Information disclosures'); a second result URL https://www.hydro.com.au/right-information-disclosures (title 'Right to Information disclosures | Hydro Tasmania') was also returned - likely an alias/redirect (inferred). ABC 2026-05-20 cited Hydro's log as an example (snippet_verified, search summary).",network_blocked_search_only,"Slice b recorded format 'html_page_with_pdf_attachments' (snippet-derived); mapped to the html_list generic adapter. Verify on first poll. [original: Disclosure log format inferred from result URLs pointing at PDF decision letters (e.g. /docs/default-source/about-us/our-governance/request-to-information-(rti)/...pdf and /sites/default/files/2026-02/16-06-23-rti-decision-letter-...pdf), i.e. site migrated to a new CMS c. 2026 - old /docs/default-s]",searched_found
ifs,Inland Fisheries Service,statutory,full,Primary Industries and Water (Gavin Pearce),,,unknown,,network_blocked_search_only,Memory: separate agency/statutory service vs NRE division - UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
integrity_commission,Integrity Commission,statutory,partial,,https://www.integrity.tas.gov.au/about/rti,,unknown,,network_blocked_search_only,2026 context: former ministers Ogilvie and Howlett used taxpayer-funded legal fees in Supreme Court proceedings against the Integrity Commission (snippets Q15).,searched_none_found
jobs_tas,Jobs Tasmania,business_unit,via_parent,Skills and Jobs (Felix Ellis),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: State Growth. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
justice,Department of Justice,agency,full,"Attorney-General; Minister for Justice, Corrections and Rehabilitation; Consumer Affairs (Guy Barnett)",https://www.justice.tas.gov.au/about-us/access-to-information,,unknown,,network_blocked_search_only,"Snippet: Department maintains a 'Disclosure Register' (not 'log'), publication within 48 hours - URL of the register not seen. RTI Policy https://www.justice.tas.gov.au/about-us/policies/right-to-information-policy and Procedures https://www.justice.tas.gov.au/about-us/policies/right-to-information-policy/right-to-information-procedures seen. Snippet: several independent statutory officers associated with Justice are s 6-excluded (except administration). Annual reports index https://www.justice.tas.gov.au/about-us/reports-publications/reports/annual-reports seen. Received DPAC functions 2026-07-16 (which ones UNCERTAIN).",searched_none_found
kentish_c,Kentish Council,council,full,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Sheffield. No Kentish Council web page appeared in the results, so website is null (memory suggests kentish.tas.gov.au, unverified). Results were swamped by Kent County Council (UK). ABS LGA code (memory, unverified): 63410. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
king_island_c,King Island Council,council,full,Minister for Local Government (memory),https://kingisland.tas.gov.au/council/access-to-information/,,unknown,,network_blocked_search_only,"Currie. annual_report_url is the 2024/25 Annual Report PDF (snippet_verified). A 2023/24 draft is also indexed at https://kingisland.tas.gov.au/wp-content/uploads/20241119-REP-Annual-Report-Combined-2023-24-1.pdf. King Island is often grouped with the Cradle Coast/north-west region (memory). ABS LGA code (memory, unverified): 63810. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
